epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,63.7977,1.06678,2.24932,4.01081,1.06856,0,0.74111,0.10153,0.13998,0.12577,0.74073,0.09684,0.13768,0.11602,1.01655,1.55575,3.7148,1.017,0,0.000662612,0.000220871,0.000662612,0.000220871,0.000662612,0.000220871,0.000662612,0.000220871
2,86.5487,0.98749,1.57665,3.36487,0.98539,0,0.54792,0.30721,0.32339,0.26425,0.54792,0.30721,0.32362,0.25161,0.98997,1.33027,2.34977,0.97956,0,0.00131645,0.000438816,0.00131645,0.000438816,0.00131645,0.000438816,0.00131645,0.000438816
3,107.532,0.99672,1.39318,2.2121,0.97739,0,0.8035,0.44465,0.45457,0.35459,0.79979,0.4429,0.4497,0.32997,0.93249,1.27715,1.44731,0.97463,0,0.00195708,0.00065236,0.00195708,0.00065236,0.00195708,0.00065236,0.00195708,0.00065236
4,127.568,0.92351,1.30115,1.45323,0.96203,0,0.67551,0.54763,0.55016,0.42157,0.67152,0.5455,0.54412,0.39343,0.86439,1.2329,1.12545,0.96283,0,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719
5,148.016,0.85278,1.25097,1.17663,0.94128,0,0.72626,0.61184,0.62407,0.47919,0.72457,0.60958,0.62068,0.44093,0.84274,1.14761,1.01596,0.95038,0,0.00192176,0.000640587,0.00192176,0.000640587,0.00192176,0.000640587,0.00192176,0.000640587
6,168.085,0.81472,1.1835,1.04936,0.93219,0,0.80694,0.64481,0.68904,0.52438,0.90168,0.63422,0.68124,0.47186,0.8167,1.15453,0.90256,0.93716,0,0.00190195,0.000633983,0.00190195,0.000633983,0.00190195,0.000633983,0.00190195,0.000633983
7,188.417,0.8048,1.17059,0.99193,0.92531,0,0.76465,0.68813,0.72396,0.54348,0.75101,0.68259,0.71162,0.4902,0.80438,1.16458,0.85514,0.93136,0,0.00188214,0.00062738,0.00188214,0.00062738,0.00188214,0.00062738,0.00188214,0.00062738
8,208.629,0.77848,1.15072,0.92187,0.91607,0,0.77031,0.71933,0.75282,0.56475,0.88442,0.69263,0.7441,0.51129,0.78804,1.10011,0.79039,0.92779,0,0.00186233,0.000620777,0.00186233,0.000620777,0.00186233,0.000620777,0.00186233,0.000620777
9,228.679,0.76593,1.13659,0.89185,0.91722,0,0.89477,0.74996,0.79026,0.58126,0.88014,0.73771,0.77066,0.51698,0.79227,1.13142,0.75317,0.92684,0,0.00184252,0.000614174,0.00184252,0.000614174,0.00184252,0.000614174,0.00184252,0.000614174
10,248.876,0.75229,1.11535,0.85279,0.91171,0,0.78763,0.83967,0.84835,0.63152,0.77828,0.83053,0.83668,0.57135,0.77134,1.09398,0.72511,0.92278,0,0.00182271,0.00060757,0.00182271,0.00060757,0.00182271,0.00060757,0.00182271,0.00060757
11,268.896,0.75047,1.11747,0.81811,0.9059,0,0.81721,0.8889,0.88534,0.65068,0.81361,0.8774,0.87152,0.58934,0.77504,1.09572,0.71033,0.9246,0,0.0018029,0.000600967,0.0018029,0.000600967,0.0018029,0.000600967,0.0018029,0.000600967
12,289.18,0.74419,1.09798,0.79761,0.90673,0,0.87899,0.88936,0.90209,0.66693,0.8667,0.88496,0.88911,0.60006,0.76027,1.10711,0.68627,0.91903,0,0.00178309,0.000594364,0.00178309,0.000594364,0.00178309,0.000594364,0.00178309,0.000594364
13,309.23,0.73415,1.09707,0.7777,0.90495,0,0.87939,0.89246,0.90178,0.6674,0.87206,0.88552,0.88865,0.59958,0.75636,1.08151,0.67882,0.91845,0,0.00176328,0.00058776,0.00176328,0.00058776,0.00176328,0.00058776,0.00176328,0.00058776
14,329.239,0.72831,1.08228,0.76912,0.9045,0,0.88538,0.89021,0.91066,0.67092,0.87749,0.8793,0.89432,0.61338,0.74955,1.05888,0.66204,0.9135,0,0.00174347,0.000581157,0.00174347,0.000581157,0.00174347,0.000581157,0.00174347,0.000581157
15,349.29,0.72315,1.08032,0.75307,0.90733,0,0.8885,0.89088,0.9176,0.68025,0.86868,0.87911,0.89638,0.61452,0.74178,1.07292,0.64755,0.90957,0,0.00172366,0.000574554,0.00172366,0.000574554,0.00172366,0.000574554,0.00172366,0.000574554
16,369.472,0.72165,1.0713,0.74465,0.90094,0,0.88314,0.89913,0.91005,0.67622,0.86402,0.88265,0.88807,0.61011,0.73938,1.06059,0.64688,0.91028,0,0.00170385,0.00056795,0.00170385,0.00056795,0.00170385,0.00056795,0.00170385,0.00056795
17,389.628,0.71472,1.06859,0.73454,0.89769,0,0.88172,0.89606,0.91579,0.69166,0.8775,0.89089,0.90706,0.6178,0.7381,1.06843,0.64523,0.9097,0,0.00168404,0.000561347,0.00168404,0.000561347,0.00168404,0.000561347,0.00168404,0.000561347
18,409.701,0.71545,1.0762,0.72536,0.89777,0,0.88103,0.90371,0.9174,0.68256,0.87248,0.89608,0.90774,0.6149,0.74398,1.07939,0.63216,0.91009,0,0.00166423,0.000554744,0.00166423,0.000554744,0.00166423,0.000554744,0.00166423,0.000554744
19,430.091,0.7062,1.05846,0.71124,0.89269,0,0.86683,0.89909,0.91721,0.69215,0.85605,0.88997,0.90321,0.62017,0.74415,1.05734,0.6297,0.90566,0,0.00164442,0.000548141,0.00164442,0.000548141,0.00164442,0.000548141,0.00164442,0.000548141
20,450.054,0.70518,1.07986,0.70441,0.89836,0,0.87888,0.88867,0.91721,0.69173,0.8663,0.87972,0.902,0.61753,0.72645,1.06172,0.625,0.90318,0,0.00162461,0.000541537,0.00162461,0.000541537,0.00162461,0.000541537,0.00162461,0.000541537
21,470.077,0.70456,1.05042,0.70237,0.89688,0,0.87657,0.89007,0.91621,0.6956,0.85946,0.87499,0.89828,0.61942,0.73377,1.05899,0.6294,0.90645,0,0.0016048,0.000534934,0.0016048,0.000534934,0.0016048,0.000534934,0.0016048,0.000534934
22,490.444,0.69742,1.03898,0.68807,0.89508,0,0.86934,0.89471,0.90545,0.68489,0.85892,0.88574,0.89311,0.61623,0.73364,1.06445,0.61824,0.90549,0,0.00158499,0.000528331,0.00158499,0.000528331,0.00158499,0.000528331,0.00158499,0.000528331
23,510.601,0.70407,1.05506,0.68993,0.89624,0,0.86072,0.90243,0.90813,0.68342,0.84989,0.89224,0.89442,0.61106,0.72938,1.0876,0.61982,0.90577,0,0.00156518,0.000521727,0.00156518,0.000521727,0.00156518,0.000521727,0.00156518,0.000521727
24,530.618,0.69557,1.04179,0.69034,0.8904,0,0.89312,0.906,0.91306,0.68147,0.87435,0.89446,0.89938,0.62013,0.73674,1.04374,0.62053,0.90634,0,0.00154537,0.000515124,0.00154537,0.000515124,0.00154537,0.000515124,0.00154537,0.000515124
25,550.489,0.6919,1.0203,0.67806,0.89004,0,0.8797,0.91034,0.91787,0.69215,0.85745,0.90719,0.90339,0.62677,0.73276,1.05279,0.61223,0.90176,0,0.00152556,0.000508521,0.00152556,0.000508521,0.00152556,0.000508521,0.00152556,0.000508521
26,570.696,0.69016,1.0324,0.67118,0.89224,0,0.88653,0.90921,0.91349,0.68784,0.88262,0.90491,0.90663,0.63019,0.71834,1.02204,0.60064,0.89701,0,0.00150575,0.000501917,0.00150575,0.000501917,0.00150575,0.000501917,0.00150575,0.000501917
27,590.562,0.69579,1.03585,0.663,0.88997,0,0.86849,0.90098,0.91778,0.698,0.8544,0.89191,0.90718,0.62758,0.72405,1.05358,0.60972,0.89978,0,0.00148594,0.000495314,0.00148594,0.000495314,0.00148594,0.000495314,0.00148594,0.000495314
28,610.492,0.68821,1.03065,0.66174,0.89112,0,0.86917,0.8941,0.91002,0.69198,0.84203,0.89116,0.89099,0.61988,0.72355,1.06415,0.60354,0.90023,0,0.00146613,0.000488711,0.00146613,0.000488711,0.00146613,0.000488711,0.00146613,0.000488711
29,630.747,0.68167,1.01604,0.65841,0.8889,0,0.87249,0.90466,0.90742,0.69065,0.85481,0.90484,0.89541,0.61291,0.71411,1.03532,0.6023,0.89503,0,0.00144632,0.000482108,0.00144632,0.000482108,0.00144632,0.000482108,0.00144632,0.000482108
30,650.423,0.68133,1.01504,0.65188,0.88437,0,0.86242,0.89247,0.91476,0.70015,0.85458,0.88656,0.90074,0.6257,0.7189,1.02846,0.6005,0.89475,0,0.00142651,0.000475504,0.00142651,0.000475504,0.00142651,0.000475504,0.00142651,0.000475504
31,670.59,0.68196,1.028,0.64906,0.88887,0,0.87007,0.90219,0.91236,0.69157,0.86551,0.90218,0.90455,0.61954,0.72145,1.05497,0.60216,0.89488,0,0.0014067,0.000468901,0.0014067,0.000468901,0.0014067,0.000468901,0.0014067,0.000468901
32,690.491,0.68448,1.01638,0.64727,0.88641,0,0.87515,0.89644,0.9105,0.698,0.87023,0.89716,0.90799,0.62412,0.71397,1.02106,0.59619,0.89294,0,0.00138689,0.000462298,0.00138689,0.000462298,0.00138689,0.000462298,0.00138689,0.000462298
33,710.646,0.6828,1.0253,0.64405,0.88792,0,0.86596,0.88671,0.89889,0.68358,0.86265,0.8844,0.89007,0.61512,0.7209,1.03556,0.59372,0.89527,0,0.00136708,0.000455694,0.00136708,0.000455694,0.00136708,0.000455694,0.00136708,0.000455694
34,730.94,0.671,1.00354,0.6456,0.88764,0,0.86458,0.91489,0.90848,0.69365,0.85882,0.91511,0.90242,0.62396,0.71534,1.02744,0.59364,0.89508,0,0.00134727,0.000449091,0.00134727,0.000449091,0.00134727,0.000449091,0.00134727,0.000449091
35,750.991,0.67761,0.99741,0.64077,0.88815,0,0.83469,0.91621,0.89816,0.68213,0.83525,0.91766,0.89295,0.6148,0.72395,1.04663,0.6021,0.89735,0,0.00132746,0.000442488,0.00132746,0.000442488,0.00132746,0.000442488,0.00132746,0.000442488
36,771.001,0.67219,1.01087,0.63843,0.88762,0,0.86183,0.91072,0.90625,0.69179,0.85879,0.90491,0.90299,0.62729,0.72129,1.03459,0.59076,0.89562,0,0.00130765,0.000435884,0.00130765,0.000435884,0.00130765,0.000435884,0.00130765,0.000435884
37,791.108,0.67721,1.01614,0.63379,0.88734,0,0.86459,0.91423,0.90174,0.69311,0.8548,0.91942,0.89589,0.61905,0.71969,1.03692,0.59041,0.89647,0,0.00128784,0.000429281,0.00128784,0.000429281,0.00128784,0.000429281,0.00128784,0.000429281
38,811.107,0.67313,1.00976,0.63303,0.88327,0,0.86256,0.91179,0.90213,0.69214,0.86116,0.90934,0.89473,0.62084,0.71684,1.02256,0.59914,0.89611,0,0.00126803,0.000422678,0.00126803,0.000422678,0.00126803,0.000422678,0.00126803,0.000422678
39,831.257,0.66665,0.97447,0.62761,0.8836,0,0.86622,0.90846,0.90313,0.69163,0.86336,0.90195,0.8982,0.62029,0.72574,1.04462,0.59171,0.89593,0,0.00124822,0.000416075,0.00124822,0.000416075,0.00124822,0.000416075,0.00124822,0.000416075
40,851.122,0.66904,0.99384,0.62566,0.88259,0,0.85415,0.90843,0.9024,0.69128,0.85369,0.90646,0.89609,0.6239,0.72185,1.037,0.5904,0.89416,0,0.00122841,0.000409471,0.00122841,0.000409471,0.00122841,0.000409471,0.00122841,0.000409471
